embedding_index,title,year,authors,journal_name,venue,issn,doi,subjects,work_id,embedding_id,embedding_run,embedding_preview,abstract
32,Intersection theorems for systems of sets,1960,"Erdős, Pál, Rado, R.",Journal of the London Mathematical Society,"J. Lond. Math. Soc. 35, 85-90 (1960).",0024-6107,10.1112/jlms/s1-35.1.85,"05D05, 03E20",10.1112/jlms/s1-35.1.85,36194eaa5afd0e8bd37dc88ac0b1135ce0762b12,msc_clean,"[0.0199, -0.0084, 0.0194, -0.0845, 0.0353, 0.0321, 0.1303, -0.0261, ...] dimension=384","Let \(a\) and \(b\) be cardinals \(\geq 1\), let \(\{ X_\nu \mid \nu \in N \}\) be a family of sets of equal cardinality \(|X_\nu| = c \leq b\), let \(\Phi(a,b)\) be a cardinal, and consider the assertion (D): if \(|N| > \Phi(a,b)\) then there exists a subset \(N'\) of \(N\), \(|N'| > a\), such that all \((X_\nu \cap X_\mu)\) are equal for \(\nu \neq \mu, \nu, \mu \in N'\). Note that for finite \(a,b=1\), and \(\Phi(a,b)=a^2\), this is a version of Dirichlet's box principle. It is extended here to theorem III: If \(a\) and \(b\) are finite then assertion (D) is valid for 
\[
\Phi(a,b) = b! a^{b+1} (1-1/2! a-\cdots-(b-1)/b! a^{b-1}).
\]
 The problem is left open whether or not the factor \(b!\) may be replaced by \(d^b\), for an appropriate constant \(d\) (the authors would have an application of this improved theorem III to number theory). 


Theorem I(ii): If \(a \geq 2\) and either \(a\) or \(b\) is infinite then assertion (D) is valid for \(\Phi(a,b) = a^b\). Examples are produced to show that in I(ii) the estimating function \(a^b\) is the best possible, and in III the indicated \(\Phi\) is best up to a factor of \(b!\) (theorem II). I(ii) is a simple consequence of theorem I(i): Assertion (D) holds for \(\Phi(a,b) = (b+1) b^b a^{b+1}\). However, the proof of I(i) uses the axiom of choice and a Ramification Lemma: Let \(\alpha\) be an ordinal, \(\{c_\gamma \mid \gamma < \alpha\}\) a family of cardinals. Let \(S\) be a set and for \(\gamma < \alpha, \{s_\delta \mid \delta < \gamma\} \subseteq S\) let \(M \{ s_\delta \} \subseteq S\) and \(|M\{S_\delta\}| \leq c_\gamma\). Let V be the set of all families \(\{s_\delta \mid \delta < \alpha\}\) such that \(s_\gamma \in M\{s_\delta \mid \delta < \gamma\}\) if \(\gamma < \alpha\). Then \(|V| \leq \prod_{\gamma < \alpha} c_\gamma\). Theorem III is also established by using I(i); of course the axiom of choice is not needed here, as I(i) and the Ramification Lemma enter in their finite version only. It should be noted ..."
33,Reflections on Church's thesis,1987,"Kleene, Stephen C.",Notre Dame Journal of Formal Logic,"Notre Dame J. Formal Logic 28, 490-498 (1987).",0029-4527,10.1305/ndjfl/1093637645,"03-03, 03D10, 03F50, 01A60",10.1305/ndjfl/1093637645,2f36b9ae6dfb98440e572595872b96a693fd4172,msc_clean,"[-0.0744, 0.0335, 0.0618, -0.0545, -0.0353, 0.0424, 0.0144, 0.0325, ...] dimension=384","The author reports and discusses some points from [\textit{J. C. Webb}, Mechanism, mentalism and metamathematics. An essay on finitism. Dordrecht etc.: D. Reidel Publishing Company (1980; Zbl 0454.03001)]. He first presents an easy argument according to which, assuming the completeness of a system F such as Gödel considered, one would obtain a contradiction to Church's thesis. He then reports that ``In fact, historically, beginning immediately after Curch's thesis became public, Kleene used Church's thesis to give proofs of Gödel's incompleteness theorem.'' 


His second subject is the following: ``One sometimes encounters statements asserting that Gödel's work laid the foundation for Church's and Turing's results, as for example in Webb [loc. cit., p. 16, lines 6--7]. It seems to me that the truth is that Church's approach through \(\lambda\)-definability and Turing's through his machine concept had quite independent roots (motivations), and would have led them to their main results even if Gödel's paper [\textit{K. Gödel}, ``Über formal unentscheidbare Sätze der \textit{Principia Mathematica} und verwandter Systeme. I'', Monatsh. Math. 38, 173--198 (1931; Zbl 0002.00101)] had not already appeared.'' 


Kleene finally addresses an argument reporeted by Webb [loc. cit., p. 222]: ``Gödel \dots objects that Turing `completely disregards' that


 (G) `Mind in its use, is not static, but constantly developing'.


\dots Gödel granted that


 (F) The human computer is capable of only finitely many internal (mental) states.


 holds `at each stage of the mind's development', but says that


 (G)' `\dots there is no reason why this number [of mental states] should not converge to infinity in the course of its development.'''


 Kleene's point is: ``I reject that (G)' could have any bearing on what number-theoretic functions are effectively calculable. (Indeed, Webb so argues)''. This is elaborated in some detail."
34,Axiomatische Untersuchung des Aussagen-Kalküls der ``Principia Mathematica''.,1926,"Bernays, P.",Mathematische Zeitschrift,"Math. Z. 25, 305-320 (1926).","1432-1823, 0025-5874",10.1007/bf01283841,03B05,10.1007/bf01283841,68e56cbd21bf5bdc5f2d2fb23ce2f68c48627192,msc_clean,"[-0.1111, 0.0486, 0.0191, -0.0793, -0.0991, 0.0846, 0.0584, 0.0251, ...] dimension=384","\textit{Whitehead-Russell}s ``Principia Mathematica'' sind auf folgenden fünf Grundformeln aufgebaut, aus denen sich jede allgemeingültige Formel durch Einsetzen und Anwenden der formalen Schlußregel \(A > B\) gewinnen läßt (Implikation bzw. Disjunktion werden durch \(>\) bzw. \(\vee\) dargestellt): 
\[
 \begin{aligned} &(p\vee p)>p\,;\\ &q>(p\vee q);\\ &(p\vee q)>(q\vee p);\\ &[p\vee(q\vee r)]>[q\vee(p\vee r)];\\ &(q>r)>[(p\vee q)>(p\vee r)]. \end{aligned} 
 Im ersten Teil der Arbeit zeigt Verf., daß man dabei mit vier geeignet gewählten von diesen oder gewissen äquivalenten Axiomen auskommt, und gewinnt damit vier aus je vier Grundformeln bestehende vollständige Axiomensysteme, deren Unabhängigkeit im 2. Teil der Arbeit nachgewiesen wird. Die Unabhängigkeitsbeweise beruhen auf der Konstruktion von Gruppen aus wenigen Elementen, für die drei Formeln des fraglichen Systems ``richtig'', die vier nicht ableitbar sind. Dabei ist die Richtigkeit einer Aussagenformel notwendigerweise so definiert, daß sie bei Anwendung der erlaubten Regeln --- Einsetzen und formale Schlußregel --- erhalten bleibt. Das erfordert das Erfülltsein einer besonderen Bedingung, das für jede Gruppe besonders festgestellt wird.

Englische Übersetzung der Arbeit s. Zbl 1288.03008."
35,Partition relations for cardinal numbers,1965,"Erdős, Pál, Hajnal, András, Rado, R.",Acta Mathematica Academiae Scientiarum Hungaricae,"Acta Math. Acad. Sci. Hung. 16, 93-196 (1965).","0001-5954, 1588-2632",10.1007/bf01886396,"05D10, 03E05, 03-02, 05E10, 03E10",10.1007/bf01886396,322f96f6fe0ce14d89dc799f1d8b081bbc215d21,msc_clean,"[-0.0263, -0.0212, 0.0158, -0.0601, 0.0093, 0.0799, 0.1125, -0.0449, ...] dimension=384","Small Greek letters denote ordinal numbers, small Roman letters denote cardinal numbers (i.e. initial ordinal), always \(p,r,s < \omega_0\), \(|X|\) is the cardinality of \(X\), \([X]^r\) denotes the set of all \(r\) element subsets of \(X\). The partition relations I, II, III are defined as follows. The relation I: \(a \to (b_\nu)^r_{\nu<\lambda}\) holds true if and only if for every partition \([X]^r = \bigcup_{\nu < \lambda} J_\nu\), \(|X|=a\), there is a \(\nu_0<\lambda\) and a subset \(Y \subseteq X\) such that \(|Y| =b\) and \([Y]^r \subseteq J_{\nu_0}\). The relation II: \(a \to (b_\nu)^{<\aleph_0}_{\nu<\lambda}\) means that for every partition \([X]^{<\aleph_0} = \bigcup_{\nu <\lambda} J_\nu\), where \([X]^{<\aleph_0} = \bigcup_{r < \omega_0} [X]^r\), there exista a \(\nu_0 < \lambda\) and a subset \(Y \subseteq X\), \(|Y| = b_{\nu_0}\) and \([Y]^{<\aleph_0} \subseteq J_{\nu_0}\). The relation III: 
\[
\begin{pmatrix} a_0 \\ \vdots \\a_s \end{pmatrix} \to \begin{pmatrix} b_{0\nu} \\ \vdots \\ b_{s\nu} \end{pmatrix}^{r_0,...,r_s}_{\nu < \lambda}
\]
 is equivalent to the following condition. Let \(|X_p| = a_p\) for \(p \leq s\), \(X_p\) are disjoint, \([X_0,...,X_s]^{r_0,...r_s} = \{X: X \subseteq X_0 \cup \cdots \cup X_s,\) \(|X\cap X_p| = r_p\) for \(p \leq s\} = \bigcup_{\nu < \lambda} J_\nu\). Then there exist sets \(Y_r \subseteq X_r\), for \(r \leq s\) and a \(\nu_0 < \lambda\) such that \(|Y_r| =b_{r\nu_0}\) for \(r \leq s\) and 
\[
[Y_0,...,Y_s]^{r_0,...,r_s} \subseteq J_{\nu_0}.
\]
 ''In this paper our first major aim is to discuss as completely as possible the relation I. Our most general results in this direction are stated in Theorems I and II, ... . If we disregard cases when among the given cardinals there occur inaccessible numbers greater than \(\aleph_0\), and if we assume the General Continuum Hypothesis, then our results are complete for \(r=2,\) ... . It seems that there are only two essentially different methods for obtaining positive p..."
36,Why the success of fuzzy logic is not paradoxical,1994,"R. Benjamins, W. Jansweijer",IEEE Expert,"IEEE Expert 9, No. 4, 43-46 (1994).",0885-9000,10.1109/64.331489,"03B52, 68T37, 68T35",10.1109/64.331489,61d04f1a305ac864c0023d39f0233db99d077678,msc_clean,"[0.0011, 0.0487, 0.0378, -0.0071, -0.0066, -0.0314, 0.0876, 0.0065, ...] dimension=384","This paper is part of a series of position statements related to a paper of \textit{C. Elkan} [IEEE Expert 9, No. 4, 3-8 (1994; Zbl 1009.03517)] which was intended to give a critical evaluation of the (un-) importance of fuzzy logic (in the wider sense) for AI and knowledge engineering. 


Most of these statements explain their authors' points of view or sketch some particular approaches toward fuzzy logic and their applications, particularly in fuzzy control and the modeling of uncertainty. The mathematical and methodological defects of Elkan's paper are most clearly explained in the statements given by \textit{D. Dubois} and \textit{H. Prade} [ibid. 9, 15-19 (1994; Zbl 1009.03521)] and by \textit{G. J. Klir} and \textit{B. Yuan} [ibid. 9, 25-26 (1994; Zbl 1009.03524)].


The series of papers is closed with a reply by Elkan [ibid. 9, 47-49 (1994; Zbl 1009.03533)]."
37,Parallel program schemata,1969,"Karp, Richard M., Miller, Raymond E.",Journal of Computer and System Sciences,"J. Comput. Syst. Sci. 3, 147-195 (1969).",0022-0000,10.1016/s0022-0000(69)80011-5,03-XX,10.1016/s0022-0000(69)80011-5,de8096ce55d4579af975e556563221a3bb46698f,msc_clean,"[-0.0048, -0.0159, -0.0847, -0.0617, -0.0277, 0.0255, -0.0656, 0.0336, ...] dimension=384","From the author's introduction: This paper introduces a model called the parallel program schema for the representation and study of programs containing parallel sequencing. The model is related to Janov's program schema, but extends it, both by modelling memory structure in more detail and by admitting parallel computation. The emphasis is on decision procedures, both for traditional properties, such as equivalence, and for new properties particular to parallel computation, such as determinacy and boundedness."
38,Fuzzy sets,1965,"Zadeh, L. A.",Information and Control,"Inf. Control 8, 338-353 (1965).",0019-9958,10.1016/s0019-9958(65)90241-x,03E72,10.1016/s0019-9958(65)90241-x,efeb23da3ec0a5680db6a034d0e47c9fdaaeb4bf,msc_clean,"[-0.0178, -0.0165, 0.0305, -0.0028, -0.0278, -0.0163, 0.1458, -0.0054, ...] dimension=384","A fuzzy set is a ``set'' of elements with a continuum of ``grades of membership''. The rigorous definition is: let \(X\) be a set of objects (elements); a fuzzy set \(A\) in \(X\) is defined by a ``membership (characteristic) function'' \(f_A\), which associates with each element \(x\in X\) a real number \(f_A(x)\in [0,1]\). The value \(f_A(x)\) of \(f_A\) at \(x\) represents the grade of membership of \(x\) in \(A\). If \(A\) is an ``ordinary'' set, its membership function \(f_A\) can take on only the values 0 and 1: \(x\in A\Leftrightarrow f_A(x) = 1\) and \(x\neq A \Leftrightarrow f_A(x)=0\). Various usual notions are extended to such sets (for instance, the notions of union, intersection and convexity)."
39,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,1995,"Alfred Tarski, Jan Tarski, Jan Woleński",History and Philosophy of Logic,zbMATH Open Web Interface contents unavailable due to conflicting licenses.,"0144-5340, 1464-5149",10.1080/01445349508837247,"03-03, 01A60",10.1080/01445349508837247,134b54e907a8f0bea0d387f4d7d992ac6d5ab61c,msc_clean,"[-0.0937, 0.0524, -0.0284, -0.0259, 0.0225, 0.0078, 0.0027, 0.0274, ...] dimension=384","The paper under review is an edited version of the text of a lecture given by A. Tarski at Harvard University (probably in 1939/40). It was the first of a planned series. At the beginning the developments which brought to focus the importance of consistency proofs for mathematics are described. In the sequel the beginnings of the work on the decision problem, Gödel's theorems and related matters are considered. An appendix to the paper is a summary of a text by A. Tarski on completeness and categoricity, which probably was planned as a second lecture of the series."
40,Fuzzy logic in control systems: Fuzzy logic controller. I,1990,"Lee, Chuen Chien","IEEE Transactions on Systems, Man, and Cybernetics","IEEE Trans. Syst. Man Cybern. 20, No. 2, 404-418 (1990).",0018-9472,10.1109/21.52551,"93C42, 03B52",10.1109/21.52551,9fd76646e5559c81168b9aacfffe7a52e8e4b291,msc_clean,"[0.0271, -0.0310, -0.0636, -0.0037, -0.0820, 0.0302, 0.1396, 0.1094, ...] dimension=384","Summary: During the past several years, fuzzy control has emerged as one of the most active and fruitful areas for research in the applications of fuzzy seet theory, especially in he realm of industrial processes, which do not lend themselves to control by conventional methds because of a lack of quantitative data regarding the input-output relations. Fuzzy control is based on fuzzy-logic - a logical system which is much closer in spirit to human thinking and natural langage than traditional logical systems. The fuzzy logic controller (FLC) based on fuzzy logic provides a means of converting a linguistic control strategy based on expert knowledge into an automatic control strategy. 


A survey of the FLC is presented; a general methodology for constructing an FLC and assessing its performance is described; and problems that need further research are pointed out. In particular, the exposition includes a discussion of fuzzification and defuzzification strategies, the derivation of the database and fuzzy control rules, the definition of fuzzy implication, and an analysis of fuzzy reasoning mechanisms. 


[For part II see the author, ibid., 419-435 (1990; Zbl 0707.93037)]."
41,On the logic of theory change: partial meet contraction and revision functions,1985,"Alchourrón, Carlos E., Gärdenfors, Peter, Makinson, David",Journal of Symbolic Logic,"J. Symb. Log. 50, 510-530 (1985).","0022-4812, 1943-5886",10.2307/2274239,"03B99, 03A05",10.2307/2274239,cc56432d4088d7083d002d3e92779ad75be268e2,msc_clean,"[-0.0187, -0.0066, 0.0597, -0.0627, 0.0156, 0.0112, -0.0043, 0.0197, ...] dimension=384","This paper extends earlier work by its authors on formal aspects of the processes of contracting a theory to eliminate a proposition and revising a theory to introduce a proposition. In the course of the earlier work, Gärdenfors developed general postulates of a more or less equational nature for such processes, whilst Alchourrón and Makinson studied the particular case of contraction functions that are maximal, in the sense of yielding a maximal subset of the theory (or alternatively, of one of its axiomatic bases), that fails to imply the proposition being eliminated. 


In the present paper, the authors study a broader class, including contraction functions that may be less than maximal. Specifically, they investigate ''partial meet contraction functions'', which are defined to yield the intersection of some nonempty family of maximal subsets of the theory that fail to imply the proposition being eliminated. Basic properties of these functions are established: it is shown in particular that they satisfy the Gärdenfors postulates, and moreover that they are sufficiently general to provide a representation theorem for those postulates. Some special classes of partial meet contraction functions, notably those that are ''relational'' and ''transitively relational'', are studied in detail, and their connections with certain ''supplementary postulates'' of Gärdenfors investigated, with a further representation theorem established."
42,Polynomial-time algorithms for prime factorization and discrete logarithms on a quantum computer,1997,"Shor, Peter W.",SIAM Journal on Computing,"SIAM J. Comput. 26, No. 5, 1484-1509 (1997).","0097-5397, 1095-7111",10.1137/s0097539795293172,"11Y05, 81P68, 03D10, 68Q05",10.1137/s0097539795293172,fd6b783848ea652866a7bda9901dd28e57491b58,msc_clean,"[-0.0874, 0.0415, -0.0617, 0.0118, -0.0006, -0.0332, 0.0373, -0.0346, ...] dimension=384","Summary: A digital computer is generally believed to be an efficient universal computing device; that is, it is believed able to simulate any physical computing device with an increase in computation time by at most a polynomial factor. This may not be true when quantum mechanics is taken into consideration. This paper considers factoring integers and finding discrete logarithms, two problems which are generally thought to be hard on a classical computer and which have been used as the basis of several proposed cryptosystems. Efficient randomized algorithms are given for these two problems on a hypothetical quantum computer. These algorithms take a number of steps polynomial in the input size, e.g., the number of digits of the integer to be factored."
43,On formally undecidable propositions of \textit{Principia Mathematica} and related systems. I,1931,"Gödel, Kurt",Monatshefte für Mathematik und Physik,"Monatsh. Math. Phys. 38, 173-198 (1931).","0026-9255, 1436-5081",10.1007/bf01700692,03F30,10.1007/bf01700692,06eeaa945926fd41d4aea6d472b91b1e22ab2afe,msc_clean,"[-0.1164, -0.0119, -0.0700, -0.0306, -0.0217, -0.0312, 0.0472, -0.0014, ...] dimension=384","In seiner wertvollen Arbeit weist der Verf. nach, daß die umfassendsten derzeit aufgestellten formalen Systeme, nämlich das System der Principia Mathematica einerseits und das Zermelo-Fraenkelsche Axiomensystem der Mengenlehre andererseits nicht dazu ausreichen, alle mit den Mitteln der betreffenden Systeme formulierbaren den beiden Systemen sogar verhältnismäßig einfache Probleme aus der Theorie der gewöhnlichen ganzen Zahlen gibt, die sich aus den Axiomen nicht entscheiden lassen.

 
U. a. kann er den wichtigen Satz beweisen: Sei \(\kappa\) eine beliebige rekursive widerspruchsfreie Klasse von Formeln, dann gilt: Die Satzformel, welche besagt, daß\ \(\kappa\) widerspruchsfrei ist, ist nicht \(\kappa\)-beweisbar; insbesondere ist die Widerspruchsfreiheit von \(P\) in \(P\) unbeweisbar, vor\-ausgesetzt, daß\ \(P\) widerspruchsfrei ist (im entgegengesetzten Fall ist natürlich jede Aussage beweisbar)."
44,Sense and reference from a constructivist standpoint,2021,"Dummett, Michael",The Bulletin of Symbolic Logic,"Bull. Symb. Log. 27, No. 4, 485-500 (2021).","1079-8986, 1943-5894",10.1017/bsl.2021.60,"03A05, 03F50",10.1017/bsl.2021.60,ac16d66e8e59e41035a131f61bb337d5c49ca1de,msc_clean,"[-0.1324, 0.0044, -0.0136, -0.0291, -0.0069, -0.0393, 0.0080, 0.0850, ...] dimension=384","<jats:title>Editorial Note</jats:title><jats:p>This paper was read by Michael Dummett at Leiden University on September 26, 1992 at the invitation by Göran Sundholm to address the topic mentioned in the title. Dummett’s lecture was part of a workshop, <jats:italic>Meaning Theory and Intuitionism</jats:italic>, with 12 invited speakers over three days. After the workshop, Dummett gave a copy of the manuscript to Sundholm together with permission to publish it. At the time, nothing came of the publication plans, nor did Dummett publish it in any other form. The text has remained virtually unknown, and apart from a lecture of Per Martin-Löf, also at Leiden, on the same topic (published in this journal), it has received no scholarly attention. We are indebted to Dummett’s literary executor, Professor Ian Rumfitt, of All Souls College, Oxford, who after nearly three decades confirmed the earlier permission to publish.</jats:p><jats:p>Göran Sundholm</jats:p><jats:p>Ansten Klev</jats:p>"
45,Internal Cohen extensions,1970,"Martin, D. A., Solovay, R. M.",Annals of Mathematical Logic,"Ann. Math. Logic 2, 143-178 (1970).",0003-4843,10.1016/0003-4843(70)90009-4,"03E40, 03E65, 03E50",10.1016/0003-4843(70)90009-4,fab91e501e9b9ce4bb273258ede0576046775a34,msc_clean,"[0.0125, -0.0027, 0.0142, 0.0382, 0.0074, 0.0339, -0.0186, 0.0103, ...] dimension=384","Consider the following axiom (A): Let \(B\) be a complete Boolean algebra satisfying the countable chain condition. For any given collection of less than \(2^{\aleph_0}\) infinite sums there is a homomorphism of \(B\) into the two-element algebra \(\{0,1\}\), which preserves all the prescribed sums. 
The knowledgeable reader can certainly easily see that the axiom is related to the method of forcing of Cohen. (A) was formulated by several people independently and is usually refered to as Martin's Axiom. If ``less than \(2^{\aleph_0}\)'' is replaced by ``countably many'' in (A),
then a homomorphism can be easily constructed and consequently, (A) follows from the continuum hypothesis. 
Thus, the interesting case is when (A) holds and \(2^{\aleph_0}>\aleph_1\). Probably the most significant consequence of this assumption is Suslin's conjecture; this has been proved by Solovay and Tennenbaum. They also showed that the assumption (A)\(+2^{\aleph_0}>\aleph_1\) is consistent. 

The present paper gives several more consequences of (A)\(+2^{\aleph_0}>\aleph_1\); e.g. every \(\Sigma_2^{\prime}\) set of reals is Lebesgue measurable and has the Baire property. (By Gödel, the converse is also consistent.) Concerning Lebesgue measurability and Baire property, it is also proved that Martin's Axiom implies that Lebesgue measurable sets form a set algebra which is \(\alpha\)-additive for each \(\alpha<2^{\aleph_0}\) and the ideal of sets of measure zero is \(\alpha\)-additive for each \(\alpha<2^{\aleph_0}\); similarly for meager sets and the Baire property. 
Another consequence of (A) is that \(2^{\aleph_0}\) is not real valued measurable. Of significance is also the fact that in many proofs concerning the topology of the real line which are based on the Continuum Hypothesis, one can actually replace the Continuum Hypothesis by Martin's Axiom. The authors take a pleasure in pointing out that of the 82 consequences of \(2^{\aleph_0}=\aleph_1\) in Sierpinski's monograph, at least ..."
46,Comparison of Russell's resolution of the semantical antinomies with that of Tarski,1977,"Church, Alonzo",Journal of Symbolic Logic,"J. Symb. Log. 41 (1976), 747-760 (1977).","0022-4812, 1943-5886",10.2307/2272393,"03A05, 03-03, 03B15, 01A60",10.2307/2272393,3855cde1b02489158f777c60013f60a0f4986edb,msc_clean,"[-0.0420, 0.0414, 0.0507, -0.0123, 0.0217, 0.0027, 0.0359, 0.0434, ...] dimension=384","<jats:p>In this paper we treat the ramified type theory of Russell [6], afterwards adopted by Whitehead and Russell in<jats:bold><jats:italic>Principia mathematica</jats:italic></jats:bold>[12], so that we may compare Russell's resolution of the semantical antinomies by ramified type theory with the now widely accepted resolution of them by the method of Tarski in [7], [8], [9].</jats:p><jats:p>To avoid impredicativity the essential restriction is that quantification over any domain (type) must not be allowed to add new members to the domain, as it is held that adding new members changes the meaning of quantification over the domain in such a way that a vicious circle results. As Whitehead and Russell point out, there is no one particular form of the doctrine of types that is indispensable to accomplishing this restriction, and they have themselves offered two different versions of the ramified hierarchy in the first edition of<jats:bold><jats:italic>Principia</jats:italic></jats:bold>(see<jats:italic>Preface</jats:italic>, p. vii). The version in §§58–59 of the writer's [1], which will be followed in this paper, is still slightly different.</jats:p><jats:p>To distinguish Russellian types or types in the sense of the ramified hierarchy from types in the sense of the simple theory of types, let us call the former<jats:italic>r-types</jats:italic>.</jats:p><jats:p>There is an r-type<jats:italic>i</jats:italic>to which the individual variables belong. If<jats:italic>β</jats:italic><jats:sub>1</jats:sub>,<jats:italic>β</jats:italic><jats:sub>2</jats:sub>, …,<jats:italic>β<jats:sub>m</jats:sub></jats:italic>are any given r-types,<jats:italic>m</jats:italic>≧ 0, there is an r-type (<jats:italic>β</jats:italic><jats:sub>1</jats:sub>,<jats:italic>β</jats:italic><jats:sub>2</jats:sub>, …,<jats:italic>β</jats:italic><jats:sub>m</jats:sub>)/<jats:italic>n</jats:italic>to which there belong<jats:italic>m</jats:italic>-ary functional variables of level<jats:italic>n</jats:ita..."
47,Is mathematics syntax of language?,1995,"Gödel, Kurt",Dialogue,"Dialogue 34, No. 1, 3-34 (1995).","1759-0949, 0012-2173",10.1017/s0012217300049271,"03A05, 01A75, 01A60, 03-03",10.1017/s0012217300049271,8aa3da9577acf9db7bf3e4f5584e3e469efd8e0b,msc_clean,"[0.0063, 0.0446, 0.0605, -0.0712, -0.0289, 0.0495, 0.0365, 0.0415, ...] dimension=384",This is a translation into French of Gödel's paper ``Is mathematics syntax of language?'' performed by Dominique Fagnot and Gerhard Heinzmann. The paper was never published until it appeared recently in Vol. III of Gödel's Collected works (1995; Zbl 0826.01038).
48,"Parity, circuits, and the polynomial-time hierarchy",1984,"Furst, Merrick, Saxe, James B., Sipser, Michael",Mathematical Systems Theory,"Math. Syst. Theory 17, 13-27 (1984).","1433-0490, 0025-5661",10.1007/bf01744431,"94C10, 68Q25, 03D15",10.1007/bf01744431,346df2e5a2317a7305831c152578acbb34942215,msc_clean,"[-0.0294, -0.0713, -0.0220, -0.0110, -0.0155, -0.0651, -0.0067, -0.0194, ...] dimension=384","The authors investigate lower bounds on the size of Boolean circuits computing parity, multiplication and transitive closure. It is already known [\textit{O. B. Lupanov}, Probl. Kibern. 6, 5--14 (1961; Zbl 0178.33104)] that Boolean circuits of depth 2 computing the parity function must have an exponential number of gates (in the number of the variables). The authors investigate the more general case of constant depth and show, that the number of gates for the computation of the parity function cannot be polynomial. By reduction it is shown, that also some other problems are not computable by polynomial-size constant-depth circuits. For this purpose the authors define: f is constant-depth polynomial-size reducible to g (\(f\leq_{cp}g)\) if f can be realized with constant-depth polynomial-size circuits on literals, made up of \(\wedge\), \(\vee\), - gates and gates computing g. It is shown, that parity can be \(\leq_{cp}\)-reduced to multiplication and to the transitive closure problem for Boolean matrices; thus multiplication and transitive closure are not computable by constant-depth polynomial-size circuits. Furthermore the authors give an application to the polynomial time hierarchy PH \((PH^ A:\) the hierarchy relativized by the oracle A); using the complexity of the parity function, they show that there is an oracle A such that \(PSPACE^ A-PH^ A\neq \emptyset\)."
49,Transversals and conjugacy in the group of recursive permutations,1990,"Higman, Graham",Lecture Notes in Mathematics,"Groups, Sel. Pap. Aust. Natl. Univ. Group Theory Program, 3rd Int. Conf. Theory Groups Rel. Top., Canberra/Aust. 1989, Lect. Notes Math. 1456, 142-160 (1990).","1617-9692, 0075-8434",10.1007/bfb0100736,"20B07, 03D20",10.1007/bfb0100736,d3bdf5b233352e3c4b1386acd0db63acfd4721f0,msc_clean,"[-0.0852, -0.0303, -0.0007, -0.0450, -0.0754, 0.0391, 0.0882, -0.0634, ...] dimension=384","[For the entire collection see Zbl 0706.00012.] 


Let S be the group of all permutations of the natural numbers \({\mathbb{N}}\), R the group of all recursive permutations of \({\mathbb{N}}\). For \(\rho\in S\) let \({\mathcal C}(\rho)\) be the conjugacy class of \(\rho\) in S. It is known from a result of \textit{C. F. Kent} [Trans. Am. Math. Soc. 104, 347-362 (1962; Zbl 0105.248)] that the following two statements are equivalent for each \(\rho\in S\) with \({\mathcal C}(\rho)\cap R\neq \emptyset:\) 


(1) \(\rho\) contains an infinity of infinite cycles, 


(2) \({\mathcal C}(\rho)\cap R\) contains at least two conjugacy classes of R. 


The author adds the third equivalent: 


(3) \({\mathcal C}(\rho)\cap R\) contains an infinity of conjugacy classes of R. 


Suppose \(\rho_ 0\in S\) has an infinity of infinite cycles but no finite cycles. Define \({\mathcal C}_ 0={\mathcal C}(\rho_ 0)\). If \(\sigma\in {\mathcal C}_ 0\cap R\) the set P(\(\sigma\)), which contains of each cycle of \(\sigma\) the smallest member, is called the principal transversal of \(\sigma\). The Turing degree of P(\(\sigma\)) is an invariant of the conjugacy class of \(\sigma\) in R (this is not the case for some of the degrees with respect to a stronger reducibility as Turing reducibility, as is shown in the last part of the paper). The statement (3) follows, since every recursively denumerable Turing degree is the degree of the principal transversal of some element of \({\mathcal C}_ 0\cap R\). In a special case the proposition in (3) is made more explicit. It is shown that there exists a \(\rho\in {\mathcal C}_ 0\cap R\) such that \(\rho^ m\) and \(\rho^ n\) are conjugate only if \(m=n\). This follows from the fact that there exists a \(\rho\in {\mathcal C}_ 0\cap R\) such that any \(\pi \in N^*_ R(\rho)=\{t\in R\); \(\exists m,n\in {\mathbb{N}}\setminus \{0\}:\) \(t^{-1}\rho^ mt=\rho^ n\}\) (the approximative normalizer of \(\rho\) in R) coincides with some power of \(\rho\) on an in..."
